ФИО клиента,Дата рождения,Номер счета,Баланс счета,Валюта,идентификатор транзакции,Тип операции,сумма,Дата транзакции
Глеб Георгиевич Жуков,14.08.1944,14532615353338622553,"414126,05",RUB,TXN-000050,пополнение,"33145,38",20.06.2025
Шашкова Анжелика Николаевна,20.01.1958,24447885583530695866,"130532,1",RUB,TXN-000051,пополнение,"2949,01",01.08.2025
Наркис Устинович Тихонов,18.04.1947,62812103454020445790,"451183,99",RUB,TXN-000052,пополнение,"32809,95",16.07.2025
Лукин Вениамин Антипович,09.08.2007,01600073310986351619,"145049,48",RUB,TXN-000053,пополнение,"7070,65",29.05.2025
Ксения Ждановна Ларионова,04.08.1939,91406038035570606272,"152837,13",RUB,TXN-000054,списание,"22506,98",24.07.2024
Элеонора Альбертовна Якушева,13.06.1942,94568546041364512615,"112307,18",USD,TXN-000055,пополнение,"3357,12",04.09.2024
Савина Дарья Феликсовна,04.10.1981,62213700440504845701,"245631,42",RUB,TXN-000056,пополнение,"28680,75",15.06.2025
Милан Артёмович Емельянов,24.10.1935,74195973141159835657,"445966,9",RUB,TXN-000057,списание,"17661,3",08.09.2023
Воробьев Илья Фролович,28.05.1964,76404914414302043649,"74178,09",RUB,TXN-000058,пополнение,"9705,41",25.09.2022
Волкова Марфа Богдановна,17.10.1963,12126097999128639417,"399389,81",RUB,TXN-000059,пополнение,"31589,36",22.10.2023
Милица Альбертовна Федорова,30.12.1952,84249374978361576676,"84980,81",RUB,TXN-000060,пополнение,"42202,07",15.12.2024
Орехова Любовь Геннадиевна,03.06.2001,54806441265151112138,"260120,74",USD,TXN-000061,пополнение,"2639,98",29.12.2022
Федор Григорьевич Терентьев,23.03.1941,40092927801913168659,"196591,21",RUB,TXN-000062,пополнение,"37856,66",14.04.2025
Светлана Михайловна Васильева,17.09.1942,56530836610776721670,"315419,82",RUB,TXN-000063,списание,"43493,86",10.10.2023
г-жа Владимирова Жанна Егоровна,03.01.2002,75480454556376862274,"520638,07",RUB,TXN-000064,пополнение,"29431,14",25.09.2023
Юлия Афанасьевна Киселева,05.04.1935,65010899861530041303,"163344,39",RUB,TXN-000065,пополнение,"26319,71",03.07.2025
Савина Дарья Феликсовна,04.10.1981,62213700440504845701,"295547,53",RUB,TXN-000066,пополнение,"49916,11",07.08.2025
Ермил Иларионович Борисов,29.08.1945,15682926376462151254,"547909,89",RUB,TXN-000067,пополнение,"49739,27",18.05.2025
Михайлова Октябрина Харитоновна,19.02.1959,16375934869860732627,"24087,27",RUB,TXN-000068,пополнение,"13094,12",11.03.2022
Лидия Александровна Моисеева,09.05.1952,41391170647064369100,"212245,55",RUB,TXN-000069,списание,"34378,38",11.07.2023
Синклитикия Кузьминична Бирюкова,05.02.1979,55262793036358046035,"375006,78",RUB,TXN-000070,пополнение,"17688,8",29.06.2025
Захаров Никон Измаилович,02.05.1953,29854252953173861342,"335910,08",RUB,TXN-000071,пополнение,"15360,09",19.12.2022
Ермил Иларионович Борисов,29.08.1945,15682926376462151254,"499769,53",RUB,TXN-000072,списание,"48140,36",27.05.2025
Юдин Ратмир Ефстафьевич,04.07.1935,50151944555192570015,"95999,02",RUB,TXN-000073,пополнение,"40661,26",04.09.2024
Филатов Ферапонт Трофимович,08.03.1990,67582935742538236635,"432455,42",RUB,TXN-000074,пополнение,38867,04.11.2024
Парамон Фадеевич Прохоров,24.07.2001,86207568409642800025,"34619,7",RUB,TXN-000075,списание,"2905,07",25.06.2025
Назаров Эмиль Димитриевич,01.04.1939,10726008725230400965,"270833,71",RUB,TXN-000076,пополнение,"47520,32",08.04.2024
Михайлов Болеслав Федосеевич,08.11.1943,82951144616457936591,"141278,73",RUB,TXN-000077,пополнение,"15776,69",24.06.2025
Костина Феврония Кузьминична,09.08.1985,51622175006744355286,"512627,84",RUB,TXN-000078,пополнение,"29031,66",18.02.2025
Лукин Вениамин Антипович,09.08.2007,59030314989272537570,"466870,1",RUB,TXN-000079,списание,"8876,93",29.03.2025
Русаков Михаил Изотович,24.01.1979,49969426189905679819,"112128,75",RUB,TXN-000080,пополнение,"37972,94",07.02.2024
Елизавета Ильинична Галкина,26.05.1942,50804325124819714670,"390071,99",EUR,TXN-000081,пополнение,"1048,45",14.03.2023
Калинин Мина Яковлевич,09.06.1994,16291612630487898634,"378124,3",RUB,TXN-000082,пополнение,"11720,67",01.03.2025
Евсеев Арефий Адамович,21.11.1948,71986601332671321535,"84694,21",RUB,TXN-000083,пополнение,"29724,86",19.10.2023
Глеб Георгиевич Жуков,14.08.1944,14532615353338622553,"436579,84",RUB,TXN-000084,пополнение,"22453,79",18.07.2025
Сидоров Фока Архипович,14.05.1990,31135692295217402973,"469418,61",RUB,TXN-000085,пополнение,"14811,38",28.07.2024
Константинова Синклитикия Геннадьевна,15.02.1936,15500929923189665257,"321224,84",RUB,TXN-000086,пополнение,"12690,9",28.01.2025
Лукин Вениамин Антипович,09.08.2007,59030314989272537570,"510819,55",RUB,TXN-000087,пополнение,"43949,45",13.07.2025
Ксения Дмитриевна Шубина,15.12.1940,25352384691482853675,"230066,89",RUB,TXN-000088,пополнение,"32862,48",21.05.2025
Беляков Карл Августович,27.03.2007,12286798530761746347,"415421,86",RUB,TXN-000089,пополнение,"34230,36",01.04.2025
Михаил Валерьянович Ковалев,13.09.2005,99524700644080498375,"230587,69",USD,TXN-000090,пополнение,"1514,92",13.06.2025
Александров Вячеслав Давыдович,07.10.2000,25124009860727406455,570150,RUB,TXN-000091,пополнение,"40933,56",16.11.2024
г-жа Владимирова Жанна Егоровна,03.01.2002,03839281351770298453,"328635,26",RUB,TXN-000092,пополнение,"5322,56",05.08.2024
Парамон Фадеевич Прохоров,24.07.2001,91824971549841436514,"91538,17",RUB,TXN-000093,списание,"7155,04",28.12.2022
Феофан Фокич Константинов,06.01.1979,39487202310676406682,"56129,69",EUR,TXN-000094,пополнение,"3670,88",17.06.2025
Лазарева Светлана Викторовна,13.06.1946,25862218248712175587,"488495,31",RUB,TXN-000095,пополнение,"4430,47",07.07.2023
Зыкова Алина Алексеевна,09.10.1952,26906400082498587708,"419443,35",RUB,TXN-000096,списание,"17767,82",29.12.2024
Лазарева София Сергеевна,04.08.2000,96653853232141525980,"393444,88",RUB,TXN-000097,пополнение,"11546,74",23.05.2025
Эдуард Харлампович Дементьев,02.06.1989,47933262294457950778,"491166,81",EUR,TXN-000098,пополнение,"3147,38",31.10.2023
Устинов Мартьян Артемьевич,11.08.1945,09543205179469171304,"11045,39",RUB,TXN-000099,пополнение,"8692,65",24.08.2023
Фёкла Ефимовна Шарапова,28.12.1982,48579726695618990022,"213136,82",RUB,TXN-000100,списание,"28517,91",06.07.2022
Ермил Иларионович Борисов,29.08.1945,15682926376462151254,"516922,8",RUB,TXN-000101,пополнение,"17153,27",10.06.2025
Никонова Василиса Максимовна,07.11.2005,80926382426486138198,"42714,41",RUB,TXN-000102,пополнение,"33747,25",04.02.2023
Калинин Мина Яковлевич,09.06.1994,16291612630487898634,"389515,54",RUB,TXN-000103,пополнение,"11391,24",10.04.2025
Никонова Василиса Максимовна,07.11.2005,80926382426486138198,"81771,31",RUB,TXN-000104,пополнение,"39056,9",29.05.2023
Шашкова Анжелика Николаевна,20.01.1958,99512535090277357663,"73305,64",RUB,TXN-000105,списание,"22472,49",21.04.2021
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"295051,09",EUR,TXN-000106,пополнение,"2194,45",30.04.2025
Фаина Робертовна Елисеева,21.03.1985,39752945457649538306,"484287,78",RUB,TXN-000107,пополнение,"47030,81",11.12.2021
Анжелика Владиславовна Стрелкова,27.03.2006,36247923860338585544,"289528,46",USD,TXN-000108,списание,"3689,78",04.05.2024
Эдуард Харлампович Дементьев,02.06.1989,47933262294457950778,"489802,37",EUR,TXN-000109,списание,"1364,44",10.06.2024
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"298659,15",EUR,TXN-000110,пополнение,"3608,06",31.07.2025
София Вадимовна Муравьева,05.02.2006,33113475367161171808,"40656,22",RUB,TXN-000111,пополнение,"39589,01",16.11.2023
Виктория Романовна Суворова,08.04.1963,62586253289101690568,"469179,24",RUB,TXN-000112,пополнение,"7390,22",01.05.2025
Ираида Рубеновна Мясникова,25.01.1968,89137604630841712901,"139950,3",RUB,TXN-000113,списание,"46777,7",14.06.2024
Ольга Ильинична Гаврилова,12.11.1995,10944158191265775922,"398814,6",RUB,TXN-000114,пополнение,"5461,78",23.04.2025
Доронин Мариан Феофанович,31.07.2005,49355113086622022332,"222926,37",RUB,TXN-000115,списание,"8949,83",24.06.2025
Ольга Ильинична Гаврилова,12.11.1995,49978494142694702284,"303590,07",USD,TXN-000116,списание,"1065,04",11.07.2025
Нифонт Давидович Абрамов,14.06.1936,63870045289536785574,"174019,37",RUB,TXN-000117,пополнение,"33976,48",10.06.2025
Комиссаров Ферапонт Алексеевич,22.10.1946,08718685539916451493,"224353,8",RUB,TXN-000118,списание,"25193,49",08.02.2022
Леонтий Эдгарович Константинов,07.07.1958,93130175159868466260,"291174,79",USD,TXN-000119,пополнение,"4942,57",02.02.2025
Комаров Гремислав Адамович,18.04.1967,60449356805627484893,"393280,14",USD,TXN-000120,списание,"827,01",25.08.2021
Денис Димитриевич Лазарев,01.02.1983,17168076555810597290,"236521,07",RUB,TXN-000121,пополнение,"10738,88",28.04.2025
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"296761,36",EUR,TXN-000122,списание,"1897,79",03.08.2025
Светлана Михайловна Васильева,17.09.1942,33250518160647396543,"48282,21",RUB,TXN-000123,пополнение,"20031,67",12.10.2021
Никонова Василиса Максимовна,07.11.2005,67203173155935191937,"306517,97",RUB,TXN-000124,пополнение,"20866,43",12.01.2024
Мишина Ирина Николаевна,24.04.2004,35272125170619511971,"168641,3",RUB,TXN-000125,списание,"6972,93",27.07.2025
Беляков Карл Августович,27.03.2007,91291258862354152710,"350671,92",RUB,TXN-000126,пополнение,"2925,62",13.10.2024
Ксения Матвеевна Симонова,11.12.1974,29277170572708849356,"437002,27",USD,TXN-000127,списание,"3934,66",28.01.2025
Ермаков Парамон Феоктистович,17.10.1977,12078358583783479562,"141783,4",RUB,TXN-000128,пополнение,"3252,84",05.01.2023
Ильин Симон Давыдович,17.03.1992,50684432847849818355,"353299,59",RUB,TXN-000129,списание,"18104,23",14.02.2022
Ксения Дмитриевна Шубина,15.12.1940,06991809580338445008,"90500,29",RUB,TXN-000130,пополнение,"3627,76",05.05.2025
Селезнев Соломон Ефремович,06.08.1962,32230189148870087986,"40707,49",RUB,TXN-000131,пополнение,"1816,72",26.01.2024
Денис Димитриевич Лазарев,01.02.1983,17168076555810597290,"219217,06",RUB,TXN-000132,списание,"17304,01",26.06.2025
Сафонова Варвара Харитоновна,06.02.1983,92832198326716442413,"475002,71",RUB,TXN-000133,пополнение,"44341,11",14.02.2025
Пелагея Аркадьевна Стрелкова,06.03.1935,83010446882223757073,"45078,58",USD,TXN-000134,пополнение,"2092,74",15.11.2021
Суханова Евпраксия Львовна,20.07.1945,69667099733356507965,"411312,42",RUB,TXN-000135,пополнение,"1537,18",12.01.2024
Синклитикия Кузьминична Бирюкова,05.02.1979,69971807334747909852,"356585,57",RUB,TXN-000136,списание,"11900,1",22.04.2025
Ольга Ильинична Гаврилова,12.11.1995,10944158191265775922,"407535,16",RUB,TXN-000137,пополнение,"8720,56",12.07.2025
Зиновьева Валерия Юльевна,02.06.1937,99204802300717699155,"424063,67",RUB,TXN-000138,пополнение,"8209,3",26.03.2022
Костина Феврония Кузьминична,09.08.1985,93357745387990187270,"191653,14",USD,TXN-000139,списание,"4320,31",14.12.2023
Наркис Устинович Тихонов,18.04.1947,62812103454020445790,"452237,04",RUB,TXN-000140,пополнение,"1053,05",22.07.2025
Клавдия Захаровна Васильева,30.09.1976,61023594373912577861,"444301,35",RUB,TXN-000141,пополнение,"1096,65",04.04.2025
Надежда Владиславовна Самсонова,08.03.1992,78602808705459454432,"374315,33",RUB,TXN-000142,пополнение,"26305,18",14.12.2023
Лазарева София Сергеевна,04.08.2000,31302989452475318003,"480803,52",RUB,TXN-000143,списание,"37346,35",29.05.2025
Михаил Валерьянович Ковалев,13.09.2005,10700399580694763355,"481967,77",RUB,TXN-000144,пополнение,"36637,74",15.03.2022
Борисов Андрон Чеславович,02.04.2001,33072611652895995039,"382014,96",RUB,TXN-000145,списание,"29462,72",12.05.2023
Пелагея Аркадьевна Стрелкова,06.03.1935,57328281115283030437,"347231,82",RUB,TXN-000146,пополнение,22065,04.06.2024
Константинова Синклитикия Геннадьевна,15.02.1936,65854960628584636067,"429609,71",USD,TXN-000147,пополнение,"1298,92",08.06.2025
Евсеев Арефий Адамович,21.11.1948,69273345637500895976,"206242,02",RUB,TXN-000148,пополнение,"27107,79",13.09.2022
Элеонора Альбертовна Якушева,13.06.1942,94568546041364512615,"112019,1",USD,TXN-000149,списание,"288,08",19.02.2025
Стоян Аверьянович Белоусов,24.07.1952,94084535724116999534,"216536,78",RUB,TXN-000150,пополнение,"49782,69",12.12.2023
Зиновьева Юлия Даниловна,29.12.2003,79848126655195321041,"490179,85",RUB,TXN-000151,пополнение,"6620,56",17.05.2025
Субботин Флорентин Эдгардович,12.06.1990,59215494949426531803,"5342,98",RUB,TXN-000152,списание,"11094,9",24.07.2025
Ермил Иларионович Борисов,29.08.1945,58586817713633595928,"119367,29",RUB,TXN-000153,пополнение,"4175,82",15.03.2024
Сафонова Варвара Харитоновна,06.02.1983,42471587776751170553,"434806,97",RUB,TXN-000154,списание,"16836,8",15.05.2025
Наркис Устинович Тихонов,18.04.1947,08664613621910455830,"125482,02",RUB,TXN-000155,пополнение,"46751,16",21.01.2025
Прохорова Александра Николаевна,25.10.1972,41322151774963019930,"265250,33",RUB,TXN-000156,списание,"22879,79",30.08.2024
Пелагея Наумовна Лебедева,02.09.1939,68479970420372918946,"339059,55",RUB,TXN-000157,пополнение,"31185,41",14.10.2021
Юлия Афанасьевна Киселева,05.04.1935,06182772313812340696,"266932,5",RUB,TXN-000158,пополнение,"15189,55",07.02.2024
Игорь Игнатьевич Кононов,14.01.1992,14956367057431550852,"316231,56",RUB,TXN-000159,пополнение,"20375,98",25.05.2025
Евсеев Арефий Адамович,21.11.1948,69273345637500895976,"159605,17",RUB,TXN-000160,списание,"46636,85",07.12.2022
Назаров Эмиль Димитриевич,01.04.1939,52406801227659938013,"378902,77",RUB,TXN-000161,пополнение,"4302,23",04.09.2022
Людмила Болеславовна Беспалова,22.03.1972,50420311277658307662,"329379,23",RUB,TXN-000162,списание,"18001,91",15.11.2023
Мартьян Фёдорович Кудряшов,11.09.1969,68743646009211691315,"476812,51",RUB,TXN-000163,пополнение,"5563,17",03.06.2025
Прохорова Прасковья Руслановна,24.12.1998,77665585114312675407,"316858,18",RUB,TXN-000164,пополнение,"48114,42",19.06.2025
Мишина Ирина Николаевна,24.04.2004,24615525994187278221,"362767,12",RUB,TXN-000165,пополнение,"24033,29",14.07.2025
Глафира Станиславовна Галкина,03.05.1997,66031113031427300928,"501684,65",RUB,TXN-000166,пополнение,"30763,52",18.04.2025
Доронин Мариан Феофанович,31.07.2005,49355113086622022332,"248433,35",RUB,TXN-000167,пополнение,"25506,98",02.07.2025
Назаров Эмиль Димитриевич,01.04.1939,10726008725230400965,"320235,61",RUB,TXN-000168,пополнение,"49401,9",06.02.2025
Владилен Гавриилович Шашков,30.03.1957,61757006724064778602,"41537,12",USD,TXN-000169,пополнение,"4980,01",10.04.2025
Милан Артёмович Емельянов,24.10.1935,74195973141159835657,"414167,18",RUB,TXN-000170,списание,"31799,72",02.09.2024
София Вадимовна Муравьева,05.02.2006,33113475367161171808,"52449,04",RUB,TXN-000171,пополнение,"11792,82",03.04.2025
Тетерин Гедеон Димитриевич,09.07.1996,16380657400895940552,"127774,81",RUB,TXN-000172,списание,"48283,93",17.09.2024
Ксения Матвеевна Симонова,11.12.1974,29277170572708849356,"438353,87",USD,TXN-000173,пополнение,"1351,6",22.07.2025
Савина Дарья Феликсовна,04.10.1981,62213700440504845701,"275091,43",RUB,TXN-000174,списание,"20456,1",07.08.2025
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"300713,88",EUR,TXN-000175,пополнение,"3952,52",08.08.2025
Селиверст Борисович Родионов,27.12.2006,97672345039464067637,"289310,65",RUB,TXN-000176,пополнение,"6168,1",29.06.2021
Крылов Ратмир Фёдорович,22.01.1994,16017516315887221436,"442778,82",RUB,TXN-000177,списание,"40565,67",24.06.2022
Захаров Никон Измаилович,02.05.1953,29854252953173861342,"315527,59",RUB,TXN-000178,списание,"20382,49",04.04.2025
Синклитикия Кузьминична Бирюкова,05.02.1979,69971807334747909852,"401472,43",RUB,TXN-000179,пополнение,"44886,86",09.07.2025
Денис Димитриевич Лазарев,01.02.1983,27237050073096440958,"216249,83",RUB,TXN-000180,пополнение,"17139,32",02.07.2023
Васильев Юрий Фомич,08.10.1942,16445857683165088124,"41153,52",RUB,TXN-000181,списание,"10933,45",09.08.2025
Михайлов Болеслав Федосеевич,08.11.1943,69286010886924368178,"413319,08",RUB,TXN-000182,списание,"7477,84",17.01.2025
Суханова Евпраксия Львовна,20.07.1945,69667099733356507965,"408724,4",RUB,TXN-000183,списание,"2588,02",10.11.2024
Савельев Фока Елизарович,22.09.1958,21249589365197667007,"74080,72",RUB,TXN-000184,списание,"13749,75",01.04.2024
Милан Артёмович Емельянов,24.10.1935,74195973141159835657,"462189,48",RUB,TXN-000185,пополнение,"48022,3",12.06.2025
Орехова Любовь Геннадиевна,03.06.2001,54806441265151112138,"261417,05",USD,TXN-000186,пополнение,"1296,31",25.06.2023
Пелагея Наумовна Лебедева,02.09.1939,83359995081483265724,"65802,99",RUB,TXN-000187,пополнение,"2570,68",30.12.2023
Прохорова Прасковья Руслановна,24.12.1998,03388896194371541907,"298904,53",RUB,TXN-000188,списание,"762,73",24.04.2023
Волкова Марфа Богдановна,17.10.1963,74376103712002420079,"120818,51",RUB,TXN-000189,пополнение,"3703,44",15.07.2025
Иларион Тимурович Гордеев,16.11.1959,27053068335256992621,"273142,59",RUB,TXN-000190,пополнение,"38280,93",04.12.2023
Лазарева София Сергеевна,04.08.2000,96653853232141525980,"425892,9",RUB,TXN-000191,пополнение,"32448,02",24.05.2025
Наркис Устинович Тихонов,18.04.1947,62812103454020445790,"421542,54",RUB,TXN-000192,списание,"30694,5",22.07.2025
Назаров Эмиль Димитриевич,01.04.1939,52406801227659938013,"382640,4",RUB,TXN-000193,пополнение,"3737,63",03.05.2024
Прохорова Александра Николаевна,25.10.1972,41322151774963019930,"266914,33",RUB,TXN-000194,пополнение,1664,31.12.2024
Анжелика Владиславовна Стрелкова,27.03.2006,36247923860338585544,"293298,3",USD,TXN-000195,пополнение,"3769,84",29.09.2024
Клавдия Аркадьевна Бурова,27.11.1977,38502180887707926009,"372515,53",RUB,TXN-000196,пополнение,"33496,36",22.07.2023
Борисов Андрон Чеславович,02.04.2001,33072611652895995039,"402972,37",RUB,TXN-000197,пополнение,"20957,41",11.03.2024
Устинов Мартьян Артемьевич,11.08.1945,09543205179469171304,"3184,89",RUB,TXN-000198,списание,"7860,5",03.10.2023
Ираида Рубеновна Мясникова,25.01.1968,89137604630841712901,"175978,14",RUB,TXN-000199,пополнение,"36027,84",11.01.2025
Константинова Синклитикия Геннадьевна,15.02.1936,15500929923189665257,"339092,6",RUB,TXN-000200,пополнение,"17867,76",09.07.2025
Мартынов Никифор Ефимович,01.09.2005,15619190708569692187,"488703,21",RUB,TXN-000201,пополнение,"31996,17",12.08.2024
Михайлов Болеслав Федосеевич,08.11.1943,69286010886924368178,"451500,27",RUB,TXN-000202,пополнение,"38181,19",27.02.2025
г-н Мамонтов Бронислав Викторович,28.07.2003,88432249045682128681,"273510,67",EUR,TXN-000203,списание,"2971,94",31.08.2024
Калинин Мина Яковлевич,09.06.1994,71314804808739445677,"256852,48",RUB,TXN-000204,пополнение,"22619,13",28.09.2021
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"300175,96",EUR,TXN-000205,списание,"537,92",08.08.2025
Михаил Валерьянович Ковалев,13.09.2005,10700399580694763355,"435153,23",RUB,TXN-000206,списание,"46814,54",22.03.2022
Александров Вячеслав Давыдович,07.10.2000,98996069459646827161,"371741,6",USD,TXN-000207,пополнение,"1800,05",12.06.2025
Баранова Анна Олеговна,26.03.1994,95263842112131981850,"503881,18",RUB,TXN-000208,пополнение,"42425,34",15.07.2025
Васильев Юрий Фомич,08.10.1942,73692599804370853844,"250225,75",RUB,TXN-000209,списание,"16996,7",21.09.2022
Михаил Валерьянович Ковалев,13.09.2005,10700399580694763355,"414917,58",RUB,TXN-000210,списание,"20235,65",19.08.2024
Овчинникова Алевтина Робертовна,06.05.1975,81651764468885952063,"161603,05",RUB,TXN-000211,списание,"45896,86",22.08.2024
Людмила Болеславовна Беспалова,22.03.1972,50420311277658307662,"346148,1",RUB,TXN-000212,пополнение,"16768,87",25.03.2025
Нифонт Давидович Абрамов,14.06.1936,63870045289536785574,"135338,3",RUB,TXN-000213,списание,"38681,07",03.07.2025
Пелагея Аркадьевна Стрелкова,06.03.1935,83010446882223757073,"45931,19",USD,TXN-000214,пополнение,"852,61",12.11.2023
Костин Митофан Эдуардович,25.10.1976,56689401348024232307,"81086,12",RUB,TXN-000215,пополнение,"10601,94",20.05.2023
